Title;Year;Genres;Language;Country;Content Rating;Duration;Aspect Ratio;Budget;Gross Earnings;Director;Actor 1;Actor 2;Actor 3;Facebook Likes - Director;Facebook Likes - Actor 1;Facebook Likes - Actor 2;Facebook Likes - Actor 3;Facebook Likes - cast Total;Facebook likes - Movie;Facenumber in posters;User Votes;Reviews by Users;Reviews by Crtiics;IMDB Score;
What Just Happened ;2008;Comedy|Drama;English;USA;R;104;2,35;25000000;1089365;Barry Levinson;Robert De Niro;Robin Wright;Kristen Stewart;272;22000;18000;17000;71973;845;1;23767;111;137;5,7;
Winter in Wartime ;2008;Drama|History|War;Dutch;Netherlands;R;103;2,35;4000000;542860;Martin Koolhoven;Yorick van Wageningen;Tygo Gernandt;Martijn Lakemeier;12;163;20;19;219;0;1;9230;37;111;7,1;
Witless Protection ;2008;Comedy|Crime;English;USA;PG-13;97;1,85;7500000;4131640;Charles Robert Carner;Ivana Milicevic;Jenny McCarthy;Richard Bull;18;834;749;742;4091;140;2;5463;20;35;3,1;
Yes Man ;2008;Comedy|Romance;English;USA;PG-13;104;2,35;70000000;97680195;Peyton Reed;Bradley Cooper;Zooey Deschanel;Danny Masterson;235;14000;11000;1000;29505;0;1;271691;243;190;6,8;
Yesterday Was a Lie ;2008;Drama|Music|Mystery|Romance|Sci-Fi;English;USA;PG;89;1,78;2500000;;James Kerwin;John Newton;Chase Masterson;H.M. Wynant;0;236;189;31;518;83;3;374;10;25;5,4;
You Don't Mess with the Zohan ;2008;Action|Comedy;English;USA;PG-13;113;1,85;90000000;100018837;Dennis Dugan;Adam Sandler;Sayed Badreya;Kevin Nealon;221;11000;600;503;13446;0;0;156348;380;198;5,5;
Zack and Miri Make a Porno ;2008;Comedy|Romance;English;USA;R;101;1,85;24000000;31452765;Kevin Smith;Gerry Bednob;Jeff Anderson;Jennifer Schwalbach Smith;0;218;216;92;638;0;7;149835;243;247;6,6;
[Rec] 2 ;2009;Horror;Spanish;Spain;R;85;1,85;5600000;27024;Jaume Balagueró;Jonathan D. Mellor;Pablo Rosso;Andrea Ros;57;37;9;6;73;4000;0;55597;148;222;6,6;
12 Rounds ;2009;Action|Crime|Thriller;English;USA;PG-13;108;2,35;22000000;12232937;Renny Harlin;Taylor Cole;Ashley Scott;Nick Gomez;212;969;794;347;2799;0;1;22823;113;113;5,6;
16 to Life ;2009;Comedy|Romance;English;USA;;89;1,78;1000000;;Becky Smith;Will Rothhaar;Emily Baldoni;Hallee Hirsh;32;386;261;256;1647;143;1;397;6;3;6,3;
17 Again ;2009;Comedy|Drama|Family|Fantasy|Romance;English;USA;PG-13;102;2,35;20000000;64149837;Burr Steers;Matthew Perry;Hunter Parrish;Thomas Lennon;23;2000;2000;651;7009;0;1;146899;185;191;6,4;
2:13 ;2009;Horror|Thriller;English;USA;;96;2,35;3500000;;Charles Adelman;Teri Polo;Kevin Pollak;Jere Burns;0;708;574;460;2307;211;0;961;12;4;4,8;
2012 ;2009;Action|Adventure|Sci-Fi;English;USA;PG-13;158;2,35;200000000;166112167;Roland Emmerich;Oliver Platt;Liam James;Tom McCarthy;776;1000;468;310;2144;13000;0;283418;1055;367;5,8;
500 Days of Summer ;2009;Comedy|Drama|Romance;English;USA;PG-13;95;2,35;7500000;32391374;Marc Webb;Joseph Gordon-Levitt;Chloë Grace Moretz;Zooey Deschanel;464;23000;17000;11000;54075;40000;43;376600;494;331;7,7;
9 ;2009;Action|Adventure|Animation|Drama|Mystery|Sci-Fi|Thriller;English;USA;PG-13;79;1,85;30000000;31743332;Shane Acker;Martin Landau;Alan Oppenheimer;Tom Kane;30;940;271;265;1594;13000;0;111117;245;263;7,1;
A Christmas Carol ;2009;Animation|Drama|Family|Fantasy;English;USA;PG;96;2,35;200000000;137850096;Robert Zemeckis;Robin Wright;Colin Firth;Gary Oldman;0;18000;14000;10000;48878;0;0;72809;249;240;6,8;
A Perfect Getaway ;2009;Adventure|Mystery|Thriller;English;USA;R;108;2,35;14000000;15483540;David Twohy;Chris Hemsworth;Milla Jovovich;Marley Shelton;123;26000;14000;690;41359;4000;4;56338;215;160;6,5;
A Serious Man ;2009;Comedy|Drama;English;USA;R;106;1,85;7000000;9190525;Ethan Coen;Michael Stuhlbarg;Fred Melamed;Peter Breitmayer;1000;816;105;98;1120;10000;1;102125;324;341;7;
A Shine of Rainbows ;2009;Drama|Family;English;Canada;PG;101;2,35;6000000;;Vic Sarin;Connie Nielsen;Aidan Quinn;John Bell;24;933;767;130;1940;1000;2;1696;19;37;7,2;
A Single Man ;2009;Drama|Romance;English;USA;R;99;2,35;7000000;9166863;Tom Ford;Colin Firth;Teddy Sears;Keri Lynn Pratt;192;14000;343;292;14816;16000;2;83182;247;281;7,6;
A Woman, a Gun and a Noodle Shop ;2009;Comedy|Drama;Mandarin;China;R;95;2,35;;190666;Yimou Zhang;Honglei Sun;Ni Yan;Dahong Ni;611;9;4;3;18;784;1;2410;20;101;5,7;
A Woman, a Gun and a Noodle Shop ;2009;Comedy|Drama;Mandarin;China;R;95;2,35;;190666;Yimou Zhang;Honglei Sun;Ni Yan;Dahong Ni;611;9;4;3;18;784;1;2410;20;101;5,7;
Adam ;2009;Drama|Romance;English;USA;PG-13;99;2,35;;2277396;Max Mayer;Peter Gallagher;Terry Walters;Amy Irving;6;828;390;194;1936;0;0;29239;70;122;7,2;
Adventureland ;2009;Comedy|Drama|Romance;English;USA;R;107;1,85;;16025394;Greg Mottola;Kristen Stewart;Martin Starr;Wendie Malick;99;17000;985;452;18983;0;6;131180;220;248;6,8;
After.Life ;2009;Drama|Horror|Mystery|Thriller;English;USA;R;104;2,35;4500000;108229;Agnieszka Wojtowicz-Vosloo;Liam Neeson;Josh Charles;Chandler Canterbury;0;14000;1000;329;15860;7000;1;30836;137;138;5,9;
Agora ;2009;Adventure|Drama|History|Romance;English;Spain;R;141;2,35;70000000;617840;Alejandro Amenábar;Max Minghella;Ashraf Barhom;Rupert Evans;448;614;451;334;1829;29000;2;52496;172;180;7,2;
Ajami ;2009;Crime|Drama;Arabic;Germany;;124;1,85;;621240;Scandar Copti;Shahir Kabaha;Scandar Copti;Ranin Karim;13;20;13;7;42;0;6;4999;32;100;7,4;
Aliens in the Attic ;2009;Adventure|Comedy|Family|Fantasy|Sci-Fi;English;USA;PG;86;1,85;45000000;25200412;John Schultz;Malese Jow;Carter Jenkins;Tim Meadows;13;1000;701;553;3423;916;3;16580;55;82;5,4;
All About Steve ;2009;Comedy|Romance;English;USA;PG-13;99;1,85;15000000;33860010;Phil Traill;Bradley Cooper;Katy Mixon;Beth Grant;3;14000;982;628;16461;0;3;33088;143;128;4,8;
Alvin and the Chipmunks: The Squeakquel ;2009;Animation|Comedy|Family|Fantasy|Music;English;USA;PG;88;1,85;75000000;219613391;Betty Thomas;Amy Poehler;Bridgit Mendler;Jesse McCartney;84;1000;1000;1000;5227;2000;0;31649;98;107;4,5;
An Education ;2009;Drama;English;UK;PG-13;100;2,35;4500000;12574715;Lone Scherfig;Dominic Cooper;Olivia Williams;Ellie Kendrick;92;3000;766;221;4198;12000;0;112138;237;278;7,3;
Angels & Demons ;2009;Mystery|Thriller;English;USA;PG-13;146;2,35;150000000;133375846;Ron Howard;Tom Hanks;Ayelet Zurer;Armin Mueller-Stahl;2000;15000;745;294;16948;0;2;207839;435;298;6,7;
Armored ;2009;Action|Crime|Thriller;English;USA;PG-13;88;2,35;27000000;15988876;Nimród Antal;Andrew Fiscella;Fred Ward;Lorna Raver;190;137000;459;163;137712;0;6;26236;110;107;5,7;
Astro Boy ;2009;Action|Animation|Comedy|Family|Sci-Fi;English;Hong Kong;PG;94;2,35;65000000;19548064;David Bowers;Nicolas Cage;Charlize Theron;Dee Bradley Baker;42;12000;9000;668;23365;0;1;25681;77;138;6,3;
Avatar ;2009;Action|Adventure|Fantasy|Sci-Fi;English;USA;PG-13;178;1,78;237000000;760505847;James Cameron;CCH Pounder;Joel David Moore;Wes Studi;0;1000;936;855;4834;33000;0;886204;3054;723;7,9;
Away We Go ;2009;Comedy|Drama|Romance;English;USA;R;98;2,35;17000000;9430988;Sam Mendes;Catherine O'Hara;Jim Gaffigan;Carmen Ejogo;0;925;472;374;1997;7000;2;45992;115;217;7,1;
Bad Lieutenant: Port of Call New Orleans ;2009;Crime|Drama;English;USA;R;122;1,85;20000000;1697956;Werner Herzog;Nicolas Cage;Shea Whigham;Shawn Hatosy;0;12000;463;407;13809;6000;2;64944;212;280;6,7;
Bandslam ;2009;Comedy|Drama|Family|Music|Romance;English;USA;PG;111;2,35;20000000;5205343;Todd Graff;Scott Porter;Charlie Saxton;Ryan Donowho;650;690;224;181;1573;1000;3;11958;39;79;6,4;
B-Girl ;2009;Drama|Music|Romance;English;USA;PG-13;88;;;;Emily Dell;Aimee Garcia;Wesley Jonathan;Drew Sidora;0;618;592;311;2476;303;0;551;10;8;4;
Black Water Transit ;2009;Crime|Drama;English;USA;;;;23000000;;Tony Kaye;Bill Cobbs;Aisha Tyler;Beverly D'Angelo;194;970;856;816;3874;26;0;219;;;7,2;
Bled ;2009;Horror;English;USA;R;95;1,85;750000;;Christopher Hutson;Dichen Lachman;Jennifer Lee Wiggins;Michele Morrow;3;717;134;118;1117;128;0;851;30;8;3,1;
Bodyguards and Assassins ;2009;Action|Drama|History;Mandarin;China;;139;2,35;23000000;;Teddy Chan;Bingbing Fan;Simon Yam;Nicholas Tse;3;556;155;107;1059;765;0;6263;33;55;6,9;
Bran Nue Dae ;2009;Comedy|Drama|Musical;English;Australia;PG-13;88;2,35;6500000;110029;Rachel Perkins;Deborah Mailman;Magda Szubanski;Jessica Mauboy;3;46;46;38;225;479;7;1388;31;33;6,3;
Breaking Upwards ;2009;Romance;English;USA;;88;2,35;15000;76382;Daryl Wein;Zoe Lister-Jones;Heather Burns;Ebon Moss-Bachrach;38;331;212;211;1546;324;2;1194;8;22;6,2;
Bride Wars ;2009;Comedy|Romance;English;USA;PG;89;1,85;30000000;58715510;Gary Winick;Anne Hathaway;Steve Howey;Candice Bergen;56;11000;826;545;13794;0;2;79094;129;152;5,4;
Bright Star ;2009;Biography|Drama|Romance;English;UK;PG;119;1,85;8500000;4440055;Jane Campion;Abbie Cornish;Paul Schneider;Samuel Roukin;319;2000;552;179;3279;0;0;21360;110;222;7;
Brooklyn's Finest ;2009;Crime|Drama|Thriller;English;USA;R;132;2,35;17000000;27154426;Antoine Fuqua;Don Cheadle;Lili Taylor;Armando Riesco;847;3000;960;625;6317;4000;1;52852;138;197;6,7;
Brothers ;2009;Drama|Thriller;English;USA;R;105;2,35;26000000;28501651;Jim Sheridan;Natalie Portman;Jake Gyllenhaal;Bailee Madison;260;20000;15000;3000;42473;10000;0;88035;201;217;7,1;
Brothers ;2009;Drama|Thriller;English;USA;R;105;2,35;26000000;28501651;Jim Sheridan;Natalie Portman;Jake Gyllenhaal;Ethan Suplee;260;20000;15000;1000;39473;10000;0;88037;201;217;7,1;
Brüno ;2009;Comedy;English;USA;R;81;1,85;42000000;59992760;Larry Charles;Bono;Elton John;Slash;119;468;442;412;2134;0;1;119622;396;288;5,8;
Capitalism: A Love Story ;2009;Crime|Documentary|News;English;USA;R;105;1,85;;14359793;Michael Moore;Ronald Reagan;Michael Moore;Bernie Sanders;909;1000;909;173;2327;10000;0;35137;188;222;7,4;
Cargo ;2009;Mystery|Sci-Fi|Thriller;German;Switzerland;;112;2,35;4500000;;Ivan Engler;Yangzom Brauen;Claude-Oliver Rudolph;Anna Katharina Schwabroh;0;29;9;7;61;2000;0;15780;62;64;6,2;
Carriers ;2009;Drama|Horror|Sci-Fi|Thriller;English;USA;PG-13;84;2,35;;90820;David Pastor;Christopher Meloni;Kiernan Shipka;Lou Taylor Pucci;10;3000;552;394;4368;0;0;35510;119;130;6;
Case 39 ;2009;Horror|Mystery|Thriller;English;USA;R;109;2,35;27000000;13248477;Christian Alvart;Bradley Cooper;Callum Rennie;Vanesa Tomasino;22;14000;716;355;15790;0;1;60555;174;167;6,2;
Chain Letter ;2009;Horror|Thriller;English;USA;R;88;2,35;5000000;143000;Deon Taylor;Matt Cohen;Betsy Russell;Noah Segan;26;487;298;236;1495;0;0;4122;48;63;4,1;
Chéri ;2009;Comedy|Drama|Romance;English;UK;R;100;2,35;23000000;2708188;Stephen Frears;Tom Burke;Iben Hjejle;Gaye Brown;350;201;123;30;365;0;1;8924;43;155;6,2;
Chicago Overcoat ;2009;Action|Adventure|Crime|Drama;English;USA;R;94;1,78;3000000;;Brian Caunter;Mike Starr;Stacy Keach;Frank Vincent;0;854;602;356;1989;229;3;706;14;11;6,2;
Chloe ;2009;Drama|Mystery|Romance|Thriller;English;USA;R;96;1,85;11000000;3074838;Atom Egoyan;Liam Neeson;Meghan Heffern;Natalie Lisinska;460;14000;153;73;14372;0;2;56264;166;226;6,3;
Cirque du Freak: The Vampire's Assistant ;2009;Action|Adventure|Fantasy|Thriller;English;USA;PG-13;109;2,35;40000000;13838130;Paul Weitz;Josh Hutcherson;Salma Hayek;Patrick Fugit;80;14000;4000;835;20503;0;3;35990;157;157;5,9;
City Island ;2009;Comedy|Drama;English;USA;PG-13;104;1,85;6000000;6670712;Raymond De Felitta;Ezra Miller;Curtiss Cook;Dominik García-Lorido;20;3000;591;130;3825;0;6;27301;101;149;7,4;
City of Life and Death ;2009;Drama|History|War;Mandarin;China;R;132;2,35;12000000;119922;Chuan Lu;Ye Liu;Yuanyuan Gao;Ryu Kohata;14;52;32;3;91;0;0;8429;62;149;7,7;
Cloudy with a Chance of Meatballs ;2009;Animation|Comedy|Family|Sci-Fi;English;USA;PG;90;2,35;100000000;124870275;Phil Lord;Will Forte;Bobb'e J. Thompson;Al Roker;97;622;526;56;1227;0;1;152601;156;191;7;
Coco Before Chanel ;2009;Biography|Drama;French;France;PG-13;111;2,35;19430000;6109075;Anne Fontaine;Alessandro Nivola;Benoît Poelvoorde;Marie Gillain;105;527;86;64;735;0;1;32003;65;165;6,7;
Coraline ;2009;Animation|Family|Fantasy;English;USA;PG;100;1,85;60000000;75280058;Henry Selick;Jennifer Saunders;Dawn French;John Hodgman;253;309;229;57;647;10000;1;143121;279;310;7,7;
Couples Retreat ;2009;Comedy;English;USA;PG-13;113;1,85;60000000;109176215;Peter Billingsley;Jon Favreau;Kristin Davis;Tasha Smith;0;4000;722;721;8172;0;6;83506;144;166;5,5;
Crank: High Voltage ;2009;Action|Crime|Sci-Fi|Thriller;English;USA;R;96;1,85;20000000;13630226;Mark Neveldine;Jason Statham;Clifton Collins Jr.;David Carradine;83;26000;968;926;30541;0;0;112516;223;150;6,2;
Crazy Heart ;2009;Drama|Music|Romance;English;USA;R;112;2,35;7000000;39462438;Scott Cooper;Jeff Bridges;Beth Grant;Debrianna Mansini;108;12000;628;175;13172;0;0;67760;226;273;7,3;
Crying with Laughter ;2009;Thriller;English;UK;;93;;;;Justin Molotnikov;Jo Hartley;Stephen McCole;Joe Cassidy;5;49;11;10;81;33;1;190;6;16;6,9;
Dance Flick ;2009;Action|Comedy|Music;English;USA;PG-13;88;1,85;25000000;25615792;Damien Dante Wayans;Damon Wayans Jr.;Essence Atkins;Chris Elliott;82;756;713;571;4378;657;0;10161;50;83;3,5;
Daybreakers ;2009;Action|Horror|Sci-Fi|Thriller;English;Australia;R;98;2,35;20000000;29975979;Michael Spierig;Jay Laga'aia;Damien Garvey;Tiffany Lamb;35;125;37;16;189;0;0;105797;281;292;6,5;
Dead Like Me: Life After Death ;2009;Comedy|Drama|Fantasy;English;USA;R;87;1,78;5000000;;Stephen Herek;Henry Ian Cusick;Callum Blue;Shenae Grimes-Beech;65;866;738;686;3724;887;1;10734;80;19;6,1;
Dead Snow ;2009;Comedy|Horror;Norwegian;Norway;Not Rated;91;1,85;800000;41709;Tommy Wirkola;Bjørn Sundquist;Stig Frode Henriksen;Ane Dahl Torp;75;35;16;13;116;23000;0;54601;200;224;6,4;
Defendor ;2009;Comedy|Crime|Drama;English;Canada;R;95;2,35;3500000;37606;Peter Stebbings;Michael Kelly;Tony Nappo;Charlotte Sullivan;89;963;654;388;2658;0;0;31836;90;78;6,8;
Did You Hear About the Morgans? ;2009;Comedy|Drama|Romance;English;USA;PG-13;103;2,35;58000000;29580087;Marc Lawrence;Michael Kelly;Kim Shaw;Kevin Brown;30;963;935;727;3150;0;2;29523;121;133;4,7;
District 9 ;2009;Action|Sci-Fi|Thriller;English;South Africa;R;112;1,85;30000000;115646235;Neill Blomkamp;Sharlto Copley;Jed Brophy;Jason Cope;662;2000;433;107;2639;22000;0;531737;1262;472;8;
Dogtooth ;2009;Drama|Thriller;Greek;Greece;Unrated;94;2,35;;110197;Yorgos Lanthimos;Angeliki Papoulia;Mary Tsoni;Sissy Petropoulou;252;47;37;14;126;13000;0;44864;170;211;7,3;
Don McKay ;2009;Drama|Mystery|Thriller;English;USA;R;87;1,85;;;Jake Goldberger;Pruitt Taylor Vince;M. Emmet Walsh;Robert Wahlberg;2;592;521;99;1227;275;1;2050;17;39;5,9;
Down for Life ;2009;Drama;English;USA;R;92;1,85;;;Alan Jacobs;Snoop Dogg;Laz Alonso;Nicholas Gonzalez;2;881;826;601;3229;237;3;257;6;1;7,3;
Down Terrace ;2009;Comedy|Crime|Drama;English;UK;R;93;;;9609;Ben Wheatley;Michael Smiley;Tony Way;David Schaal;214;177;95;59;365;535;4;2646;22;53;6,5;
Drag Me to Hell ;2009;Horror|Thriller;English;USA;PG-13;99;2,35;30000000;42057340;Sam Raimi;Bojana Novakovic;Alison Lohman;Reggie Lee;0;2000;1000;828;5642;11000;0;158354;691;397;6,6;
Dragonball: Evolution ;2009;Action|Adventure|Fantasy|Sci-Fi|Thriller;English;USA;PG;100;2,35;45000000;9353573;James Wong;Ian Whyte;Texas Battle;Randall Duk Kim;70;473;315;99;1100;0;0;56451;524;130;2,7;
Duplicity ;2009;Comedy|Crime|Romance|Thriller;English;USA;PG-13;125;2,35;60000000;40559930;Tony Gilroy;Julia Roberts;Tom Wilkinson;Denis O'Hare;209;8000;1000;896;10623;0;0;41727;184;211;6,2;
Enter the Void ;2009;Drama|Fantasy;English;France;Not Rated;161;2,35;13000000;336467;Gaspar Noé;Paz de la Huerta;Emily Alyn Lind;Olly Alexander;929;488;289;116;943;23000;0;45449;192;216;7,3;
Everybody's Fine ;2009;Adventure|Drama;English;USA;PG-13;99;2,35;21000000;8855646;Kirk Jones;Robert De Niro;James Frain;Brendan Sexton III;52;22000;1000;148;23409;10000;1;49855;117;160;7,2;
Exam ;2009;Mystery|Thriller;English;UK;Not Rated;101;2,35;;;Stuart Hazeldine;Colin Salmon;Luke Mably;Pollyanna McIntosh;17;766;438;289;2123;14000;0;70076;120;77;6,9;
Extract ;2009;Comedy|Crime|Romance;English;USA;R;92;1,85;8000000;10814185;Mike Judge;J.K. Simmons;Mila Kunis;Clifton Collins Jr.;406;24000;15000;968;41867;0;6;37530;106;192;6,2;
Fame ;2009;Comedy|Drama|Musical|Romance;English;USA;PG;123;2,35;18000000;22452209;Kevin Tancharoen;Kelsey Grammer;Kay Panabaker;Megan Mullally;64;808;720;637;5734;0;0;14062;82;134;5;
Fantastic Mr. Fox ;2009;Adventure|Animation|Comedy|Crime|Family;English;USA;PG;87;1,85;40000000;20999103;Wes Anderson;Bill Murray;Meryl Streep;Helen McCrory;0;13000;11000;563;24770;15000;0;139114;245;335;7,8;
Fish Tank ;2009;Drama;English;UK;Not Rated;123;1,33;;373060;Andrea Arnold;Michael Fassbender;Harry Treadaway;Jason Maza;121;13000;260;168;13636;0;0;47385;112;248;7,3;
Flying By ;2009;Drama|Family|Music;English;USA;PG-13;90;;;;Jim Amatulli;Heather Locklear;Patricia Neal;Katie Leclerc;0;695;617;483;3217;38;6;215;2;;4,5;
Forget Me Not ;2009;Horror|Romance|Thriller;English;USA;R;103;2,35;1300000;;Tyler Oliver;Bella Thorne;Chloe Bridges;Christopher Atkins;0;35000;516;511;38121;969;1;4866;38;24;5,2;
Four Single Fathers ;2009;Comedy;Italian;Italy;;100;;3000000;;Paolo Monico;Stephanie Szostak;Sarah Rafferty;Salvatore Santone;3;1000;810;382;2890;32;0;118;1;2;5,1;
Frat Party ;2009;Comedy;English;USA;R;90;16;1000000;;Robert Bennett;Randy Wayne;Lauren C. Mayhew;Alicia Ziegler;15;984;157;106;1752;297;4;1612;28;6;2,8;
Funny People ;2009;Comedy|Drama;English;USA;R;153;1,85;75000000;51814190;Judd Apatow;Adam Sandler;RZA;Maude Apatow;0;11000;561;130;11852;0;1;100837;301;230;6,4;
G.I. Joe: The Rise of Cobra ;2009;Action|Adventure|Sci-Fi|Thriller;English;USA;PG-13;118;2,35;175000000;150167630;Stephen Sommers;Joseph Gordon-Levitt;Dennis Quaid;Leo Howard;208;23000;2000;570;26683;0;4;174578;534;250;5,8;
Gamer ;2009;Action|Sci-Fi|Thriller;English;USA;R;95;1,85;50000000;20488579;Mark Neveldine;Gerard Butler;Logan Lerman;Alison Lohman;83;18000;8000;1000;29926;0;1;113483;245;180;5,8;
Gentlemen Broncos ;2009;Adventure|Comedy|Sci-Fi;English;USA;PG-13;89;;;113155;Jared Hess;Jizelle Jade;Michael Angarano;Héctor Jiménez;100;33000;947;327;34398;0;7;9006;54;106;6,1;
Get Low ;2009;Drama|Mystery;English;USA;PG-13;100;2,35;7500000;9176553;Aaron Schneider;Bill Murray;Robert Duvall;Bill Cobbs;11;13000;3000;970;19330;0;1;19147;97;160;7,1;
G-Force ;2009;Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi;English;USA;PG;88;2,35;150000000;119420252;Hoyt Yeatman;Kelli Garner;Piper Mackenzie Harris;Niecy Nash;12;730;607;182;2217;0;0;33042;90;145;5,1;
Hachi: A Dog's Tale ;2009;Drama|Family;English;USA;G;93;1,85;16000000;;Lasse Hallström;Cary-Hiroyuki Tagawa;Sarah Roemer;Joan Allen;529;1000;884;805;4453;115000;0;155249;304;84;8,1;
Halloween II ;2009;Horror;English;USA;R;119;1,85;15000000;33386128;Rob Zombie;Scout Taylor-Compton;Tyler Mane;Margot Kidder;0;908;764;593;3226;3000;0;36372;491;220;4,9;
Halloween II ;2009;Horror;English;USA;R;119;1,85;15000000;33386128;Rob Zombie;Scout Taylor-Compton;Tyler Mane;Margot Kidder;0;908;764;593;3226;3000;0;36372;491;220;4,9;
Hannah Montana: The Movie ;2009;Comedy|Drama|Family|Music|Romance;English;USA;G;102;1,85;30000000;79566871;Peter Chelsom;Emily Osment;Vanessa Williams;Moises Arias;23;1000;1000;635;4516;0;2;31760;140;131;4,2;
Harry Brown ;2009;Action|Crime|Drama|Thriller;English;UK;R;97;2,35;7300000;1818681;Daniel Barber;Joseph Gilgun;Jack O'Connell;Sean Harris;12;788;698;641;2486;0;1;74435;224;224;7,2;
Harry Potter and the Half-Blood Prince ;2009;Adventure|Family|Fantasy|Mystery;English;UK;PG;153;2,35;250000000;301956980;David Yates;Alan Rickman;Daniel Radcliffe;Rupert Grint;282;25000;11000;10000;58753;10000;3;321795;973;375;7,5;
He's Just Not That Into You ;2009;Comedy|Drama|Romance;English;USA;PG-13;129;2,35;40000000;93952276;Ken Kwapis;Carmen Perez;Sabrina Revelle;Sachiko Ishida;42;97;50;49;318;12000;7;132048;203;161;6,4;
Hotel for Dogs ;2009;Comedy|Family;English;USA;PG;100;1,85;35000000;73023275;Thor Freudenthal;Don Cheadle;Kevin Dillon;Yvette Nicole Brown;87;3000;576;446;5174;1000;4;16271;57;107;5,4;
I Am Love ;2009;Drama|Romance;Italian;Italy;R;120;1,85;10000000;5004648;Luca Guadagnino;Flavio Parenti;Waris Ahluwalia;Alba Rohrwacher;64;144;110;72;474;0;1;14031;114;181;7;
I Can Do Bad All by Myself ;2009;Comedy|Drama;English;USA;PG-13;113;1,85;13000000;51697449;Tyler Perry;Eric Mendenhall;Mary J. Blige;Hope Olaide Wilson;0;607;269;256;1465;1000;6;8346;59;36;4,1;
I Come with the Rain ;2009;Thriller;English;France;Not Rated;114;2,35;18000000;;Tran Anh Hung;Takuya Kimura;Simón Andreu;Shawn Yue;157;84;35;32;198;342;0;2541;20;59;5,5;
I Hope They Serve Beer in Hell ;2009;Comedy;English;USA;R;105;2,35;;1425993;Bob Gosse;Geoff Stults;Susie Abromeit;Derek Wayne Johnson;10;756;216;184;1417;0;1;7412;72;52;5,3;
I Love You Phillip Morris ;2009;Biography|Comedy|Crime|Drama|Romance;English;France;R;102;1,85;13000000;2035566;Glenn Ficarra;Dameon Clarke;Louis Herthum;Annie Golden;43;170;157;113;931;11000;0;77305;162;242;6,6;
I Love You, Beth Cooper ;2009;Comedy|Romance;English;Canada;PG-13;102;1,85;18000000;14793904;Chris Columbus;Alan Ruck;Marie Avgeropoulos;Shawn Roberts;0;946;800;529;4072;0;1;28209;80;107;5,3;
I Love You, Man ;2009;Comedy|Romance;English;USA;R;105;1,85;40000000;71347010;John Hamburg;J.K. Simmons;Jon Favreau;Jane Curtin;29;24000;4000;257;28928;0;2;166194;215;215;7,1;
Ice Age: Dawn of the Dinosaurs ;2009;Action|Adventure|Animation|Comedy|Family;English;USA;PG;94;1,85;90000000;196573705;Carlos Saldanha;Denis Leary;Maile Flanagan;Kelly Keaton;107;835;256;117;1258;0;0;166791;132;188;7;
Imagine That ;2009;Comedy|Drama|Family|Fantasy;English;USA;PG;107;2,35;55000000;16088610;Karey Kirkpatrick;Stephen Root;Ronny Cox;Richard Schiff;11;939;605;506;3742;610;2;10417;39;93;5,6;
Inglourious Basterds ;2009;Adventure|Drama|War;English;USA;R;153;2,35;75000000;120523073;Quentin Tarantino;Michael Fassbender;Brad Pitt;Christoph Waltz;16000;13000;11000;11000;36741;42000;1;885175;1527;486;8,3;
Ink ;2009;Action|Drama|Fantasy|Sci-Fi;English;USA;;107;1,78;;;Jamin Winans;Eme Ikwuakor;Marty Lindsey;Jessica Duffy;63;135;115;76;457;11000;0;18486;215;66;7;
Invictus ;2009;Biography|Drama|History|Sport;English;USA;PG-13;134;2,35;60000000;37479778;Clint Eastwood;Matt Damon;Morgan Freeman;Leleti Khumalo;16000;13000;11000;204;24458;23000;1;124222;259;306;7,4;
It's Complicated ;2009;Comedy|Drama|Romance;English;USA;R;120;1,85;85000000;112703470;Nancy Meyers;Meryl Streep;Hunter Parrish;Zoe Kazan;278;11000;2000;963;15226;0;2;69860;214;187;6,6;
Jennifer's Body ;2009;Comedy|Fantasy|Horror;English;USA;R;107;1,85;16000000;16204793;Karyn Kusama;J.K. Simmons;Amy Sedaris;Cynthia Stevenson;45;24000;396;271;24805;6000;1;92712;294;300;5,1;
Julie & Julia ;2009;Biography|Drama|Romance;English;USA;PG-13;123;1,85;40000000;94125426;Nora Ephron;Meryl Streep;Mary Lynn Rajskub;Vanessa Ferlito;0;11000;935;923;13321;13000;2;79264;277;252;7;
Knowing ;2009;Drama|Mystery|Sci-Fi|Thriller;English;USA;PG-13;121;2,35;50000000;79948113;Alex Proyas;Nicolas Cage;Ben Mendelsohn;Chandler Canterbury;295;12000;748;329;13421;0;0;186879;791;279;6,2;
Land of the Lost ;2009;Adventure|Comedy|Sci-Fi;English;USA;PG-13;102;1,85;100000000;49392095;Brad Silberling;Will Ferrell;Anna Friel;Bobb'e J. Thompson;52;8000;735;526;10552;0;1;52029;224;167;5,4;
Law Abiding Citizen ;2009;Crime|Drama|Thriller;English;USA;R;118;2,35;50000000;73343413;F. Gary Gray;Gerard Butler;Leslie Bibb;Michael Kelly;473;18000;1000;963;22517;21000;0;217480;429;216;7,4;
Life During Wartime ;2009;Comedy|Drama;English;USA;R;98;1,85;;278821;Todd Solondz;Rich Pecci;Shirley Henderson;Charlotte Rampling;377;1000;887;844;5041;0;1;5465;37;159;6,5;
